Mes;Union Europea;Canada;Estados Unidos;Mexico;Bolivia;Ecuador;Peru;Argentina;Brasil;Paraguay;Uruguay;Venezuela;China;Japon;India;Panama;Resto de paises;Total Exportaciones
mar-18;397188;85855;806250;176781;10490;152403;85429;19213;144951;1069;1729;30109;337259;59236;8136;209603;839412;3365116
abr-18;497611;73450;1088541;162686;12324;158508;87043;20752;143220;2396;19936;42167;391624;48860;14493;192602;830323;3786537
may-18;494548;60642;881775;130194;13007;142864;89082;31466;132976;1746;2324;18072;312111;44811;82940;304391;976459;3719410
jun-18;407872;78168;939455;85666;12067;139877;90491;33242;131491;2669;2447;28659;290232;34391;80935;179601;794670;3331933
jul-18;358129;50538;928452;141236;13314;131208;116992;28054;149863;2612;5459;16334;243838;57075;235365;208261;945324;3632055
ago-18;391842;178379;911201;135440;12446;148586;166602;40807;151623;2669;3722;21438;240686;41459;17542;267923;952035;3684399
sep-18;336715;72443;798083;118072;10486;197289;80390;14800;112120;2124;4157;14298;452319;27678;10730;275924;985213;3512842
oct-18;518568;57693;809035;121004;13502;158109;95551;21090;140736;2057;2451;45642;643889;32043;26155;209665;871479;3768666
nov-18;310442;43277;751450;154876;12955;217706;79972;20654;109278;2065;2715;57546;397831;19631;18737;391496;752878;3343509
dic-18;437397;36684;849156;134726;13011;158649;80098;15594;92585;3135;2025;21153;420500;38652;24457;203357;876641;3407819
ene-19;397632;28310;872271;86804;9081;128544;82967;13049;147685;2118;8127;26359;345850;33951;25502;216966;640895;3066110
feb-19;423557;48234;873310;203991;8657;156487;117156;19304;98284;802;1399;23080;286728;35004;24190;167746;695141;3183071
mar-19;420721;38711;1168983;111906;12025;111855;108777;10562;96325;1262;1724;8406;211078;55489;10479;264381;712168;3344850
abr-19;499068;31250;1215045;139693;13047;200541;97478;28752;121049;1299;26578;16349;317020;31634;38160;158364;927492;3862819
may-19;505472;48212;1053023;165678;11496;154935;91508;22564;153392;1864;1749;17527;288944;27401;26458;266161;911958;3748342
jun-19;328949;35426;988546;92444;10070;166749;95202;16687;105870;4029;1441;13884;409627;34008;45617;146749;601066;3096363
jul-19;372943;36734;822213;105622;9933;174088;87511;31356;137420;1201;2219;14547;551089;39261;9452;123616;736623;3255830
ago-19;373317;28844;964156;105176;12885;173885;113577;19934;102319;4170;2331;11470;400531;39856;81361;155940;674510;3264261
